station,frequency,norm
97.9,1171.875,17.08101025092446
97.9,1175.78125,5.635987979674031
97.9,1179.6875,17.03214344117768
97.9,1183.59375,12.18590547195245
97.9,1187.5,12.261548953253053
97.9,1191.40625,13.471961379031338
97.9,1195.3125,16.61730370252283
97.9,1199.21875,13.245501821510745
97.9,1203.125,18.816682150200315
97.9,1207.03125,15.839364528379647
97.9,1210.9375,18.368863831380473
97.9,1214.84375,14.00809960078228
97.9,1218.75,17.85171331062586
97.9,1222.65625,18.25090130705645
97.9,1226.5625,22.05841966964138
97.9,1230.46875,17.294914072511215
97.9,1234.375,18.122332107927654
97.9,1238.28125,15.789851296455572
97.9,1242.1875,15.946967893029397
97.9,1246.09375,13.169811473053146
97.9,1250.0,18.246012316560094
97.9,1253.90625,26.85736370475641
97.9,1257.8125,13.206011990893618
97.9,1261.71875,16.358623666890885
97.9,1265.625,19.60865229050963
97.9,1269.53125,26.059551574827385
97.9,1273.4375,18.584929852887978
97.9,1277.34375,18.326686342397835
97.9,1281.25,25.69656640669453
97.9,1285.15625,18.1828688837845
97.9,1289.0625,18.76438429320296
97.9,1292.96875,22.364224156444703
97.9,1296.875,23.513558317805458
97.9,1300.78125,17.21357676682392
97.9,1304.6875,28.216001788467256
97.9,1308.59375,23.148184461579095
97.9,1312.5,17.921423635762515
97.9,1316.40625,24.971286772769993
97.9,1320.3125,19.247025824068995
97.9,1324.21875,13.853287617499308
97.9,1328.125,16.98883229622503
97.9,1332.03125,23.648962526779684
97.9,1335.9375,17.97664380154639
97.9,1339.84375,31.44248642261492
97.9,1343.75,20.5172100721477
97.9,1347.65625,16.334963605342082
97.9,1351.5625,14.901543326849819
97.9,1355.46875,20.786001645935077
97.9,1359.375,15.936517766836195
97.9,1363.28125,27.41564344282407
97.9,1367.1875,17.072453202982658
97.9,1371.09375,16.16625302257526
97.9,1375.0,17.92141538171061
97.9,1378.90625,12.305734648913925
97.9,1382.8125,18.905971741511603
97.9,1386.71875,17.895596572661674
97.9,1390.625,22.39236018340641
97.9,1394.53125,13.371603714572355
97.9,1398.4375,12.473983922494128
97.9,1402.34375,20.38390859352238
97.9,1406.25,16.50723156384221
97.9,1410.15625,22.060381912287987
97.9,1414.0625,23.491431460700866
97.9,1417.96875,14.1352049257032
97.9,1421.875,19.511497026931433
97.9,1425.78125,20.508814298547883
97.9,1429.6875,20.95850886473926
97.9,1433.59375,24.725738762876432
97.9,1437.5,14.56113977686362
