station,frequency,norm
97.9,382.8125,11.825523
97.9,386.71875,39.108583
97.9,390.625,14.098078
97.9,394.53125,33.344911
97.9,398.4375,21.271178
97.9,402.34375,28.882054
97.9,406.25,34.237973
97.9,410.15625,30.502712
97.9,414.0625,71.317174
97.9,417.96875,9.690869
97.9,421.875,47.804677
97.9,425.78125,35.380257
97.9,429.6875,10.579724
97.9,433.59375,56.47606
97.9,437.5,46.291499
97.9,441.40625,75.247368
97.9,445.3125,59.247921
97.9,449.21875,79.820623
97.9,453.125,64.826992
97.9,457.03125,35.059445
97.9,460.9375,90.124087
97.9,464.84375,87.060857
97.9,468.75,100.879794
97.9,472.65625,127.079342
97.9,476.5625,89.858485
97.9,480.46875,107.073869
97.9,484.375,61.371374
97.9,488.28125,124.165042
97.9,492.1875,117.057442
97.9,496.09375,129.796341
97.9,500.0,176.050253
97.9,503.90625,146.855744
97.9,507.8125,171.578211
97.9,511.71875,89.758119
97.9,515.625,139.676705
97.9,519.53125,176.102024
97.9,523.4375,196.656856
97.9,527.34375,262.270321
97.9,531.25,231.121631
97.9,535.15625,256.78063
97.9,539.0625,190.653765
97.9,542.96875,174.586391
97.9,546.875,149.120961
97.9,550.78125,165.716421
97.9,554.6875,271.151078
97.9,558.59375,291.271756
97.9,562.5,299.294427
97.9,566.40625,304.162563
97.9,570.3125,241.061373
97.9,574.21875,163.823212
97.9,578.125,54.360214
97.9,582.03125,80.015323
97.9,585.9375,107.624178
97.9,589.84375,157.954404
97.9,593.75,182.022076
97.9,597.65625,162.060715
97.9,601.5625,158.383727
97.9,605.46875,87.753516
97.9,609.375,79.452974
97.9,613.28125,83.901937
97.9,617.1875,51.524944
97.9,621.09375,102.348707
97.9,625.0,55.607627
97.9,628.90625,83.324126
97.9,632.8125,17.001539
97.9,636.71875,57.468672
97.9,640.625,44.042874
97.9,644.53125,29.362067
97.9,648.4375,38.535958
97.9,652.34375,19.915377
97.9,656.25,44.911503
97.9,660.15625,54.655859
97.9,664.0625,97.256625
97.9,667.96875,46.871605
97.9,671.875,72.062284
97.9,675.78125,29.331074
97.9,679.6875,33.280103
97.9,683.59375,52.746741
97.9,687.5,86.736074
97.9,691.40625,69.711455
97.9,695.3125,127.454218
97.9,699.21875,91.995816
97.9,703.125,124.687321
97.9,707.03125,58.891814
97.9,710.9375,52.462316
97.9,714.84375,42.155279
97.9,718.75,26.649453
97.9,722.65625,22.167456
97.9,726.5625,34.366701
97.9,730.46875,44.6193
97.9,734.375,71.765457
97.9,738.28125,59.485147
97.9,742.1875,59.980802
97.9,746.09375,49.036455
97.9,750.0,61.482518
97.9,753.90625,32.588512
97.9,757.8125,39.395664
